text_input,output
오늘 날씨 어때?,오늘은 맑고 화창한 날씨네요. 외출하기 좋겠어요!
뭐 먹지?,오늘은 어떤 음식이 땡기세요? 매콤한 떡볶이 어떠세요? 아니면 시원한 냉면은?
영화 추천해줘,"어떤 장르의 영화를 좋아하세요? 액션, 로맨스, 드라마 중에 어떤 게 좋으세요?"
요즘 인기 있는 드라마 뭐 있어?,요즘 인기 있는 드라마로는 '더 글로리'가 있어요. 시청자들 사이에서 반응이 좋더라구요!
주식 시장 어때?,오늘 주식 시장은 혼조세를 보이고 있어요. 주요 종목을 잘 살펴보세요!
요즘 유행하는 패션 스타일은?,요즘은 미니멀리즘 스타일이 유행이에요. 심플하면서도 고급스러운 룩이 인기랍니다.
오늘 할 일 알려줘,오늘은 미팅 준비와 프로젝트 보고서 작성을 해야 해요. 파이팅입니다!
AI가 뭐야?,"AI는 인공지능으로, 인간의 지능을 모방해 학습하고 문제를 해결하는 기술입니다."
주말에 뭐 하면 좋을까?,"주말에는 가까운 공원에서 산책하거나, 카페에서 책을 읽는 것도 좋을 것 같아요."
새로운 책 추천해줘,최근 인기 있는 책으로는 '달러구트 꿈 백화점'이 있어요. 흥미로운 내용이 많답니다.
건강하게 사는 방법 알려줘,규칙적인 운동과 균형 잡힌 식단이 중요해요. 하루에 물도 충분히 마시고 스트레스를 줄이는 것도 좋아요.
외국어 공부 어떻게 하면 좋을까?,매일 조금씩 꾸준히 하는 게 중요해요. 좋아하는 영화나 음악을 원어로 접하는 것도 추천해요!
좋은 습관 만드는 법 좀 알려줘,"작은 목표부터 시작해서 조금씩 실천해 보세요. 예를 들어, 하루에 물 한 컵 더 마시기부터 시작해보세요."
오늘 기분이 우울해,힘든 하루였군요. 잠시 쉬어가면서 좋아하는 음악이나 책을 접해보는 건 어때요?
커피 맛있게 만드는 법,핸드 드립으로 천천히 내리면 깊은 맛을 느낄 수 있어요. 원두의 신선도도 중요한 요소입니다.
요즘 인기 있는 음악 추천해줘,BTS의 최신 곡이 인기가 많아요. 한번 들어보세요!
새로운 운동 추천해줘,최근 요가나 필라테스가 인기가 많아요. 몸과 마음을 함께 단련할 수 있답니다.
오늘 저녁 뭐 먹으면 좋을까?,가벼운 샐러드나 영양가 높은 곡물밥은 어때요?
친구와 할만한 활동 추천해줘,보드게임을 하거나 가까운 공원에서 피크닉을 즐겨보세요.
피부 관리 어떻게 해?,매일 자외선 차단제를 바르고 충분한 수분 섭취가 중요해요.
불면증에 좋은 팁 알려줘,자기 전에 따뜻한 우유를 마시거나 조용한 음악을 들어보세요.
공부에 집중이 안 돼,25분 집중하고 5분 쉬는 '포모도로 기법'을 사용해보세요.
연애 고민 상담해줘,상대방과 솔직하게 대화해보는 게 중요해요. 서로의 마음을 이해할 수 있답니다.
여행 갈 만한 곳 추천해줘,요즘 제주도가 인기 있는 여행지예요. 자연과 맛집을 모두 즐길 수 있답니다.
운동 후 피로를 푸는 방법,스트레칭과 따뜻한 물로 샤워하면 피로가 풀리는 데 도움이 돼요.
요즘 인기 있는 음악 추천해줘,BTS의 최신 곡이 인기가 많아요. 한번 들어보세요!
새로운 운동 추천해줘,최근 요가나 필라테스가 인기가 많아요. 몸과 마음을 함께 단련할 수 있답니다.
오늘 저녁 뭐 먹으면 좋을까?,가벼운 샐러드나 영양가 높은 곡물밥은 어때요?
친구와 할만한 활동 추천해줘,보드게임을 하거나 가까운 공원에서 피크닉을 즐겨보세요.
피부 관리 어떻게 해?,매일 자외선 차단제를 바르고 충분한 수분 섭취가 중요해요.
불면증에 좋은 팁 알려줘,자기 전에 따뜻한 우유를 마시거나 조용한 음악을 들어보세요.
공부에 집중이 안 돼,25분 집중하고 5분 쉬는 '포모도로 기법'을 사용해보세요.
연애 고민 상담해줘,상대방과 솔직하게 대화해보는 게 중요해요. 서로의 마음을 이해할 수 있답니다.
여행 갈 만한 곳 추천해줘,요즘 제주도가 인기 있는 여행지예요. 자연과 맛집을 모두 즐길 수 있답니다.
운동 후 피로를 푸는 방법,스트레칭과 따뜻한 물로 샤워하면 피로가 풀리는 데 도움이 돼요.
요즘 인기 있는 음악 추천해줘,BTS의 최신 곡이 인기가 많아요. 한번 들어보세요!
새로운 운동 추천해줘,최근 요가나 필라테스가 인기가 많아요. 몸과 마음을 함께 단련할 수 있답니다.
오늘 저녁 뭐 먹으면 좋을까?,가벼운 샐러드나 영양가 높은 곡물밥은 어때요?
친구와 할만한 활동 추천해줘,보드게임을 하거나 가까운 공원에서 피크닉을 즐겨보세요.
피부 관리 어떻게 해?,매일 자외선 차단제를 바르고 충분한 수분 섭취가 중요해요.
불면증에 좋은 팁 알려줘,자기 전에 따뜻한 우유를 마시거나 조용한 음악을 들어보세요.
공부에 집중이 안 돼,25분 집중하고 5분 쉬는 '포모도로 기법'을 사용해보세요.
